CID,SMILES,pred_lum,pred_PLQY
169264853,COc1cc(C(O)=NC[C@@](O)(c2ccccc2)c2cc(N3C(=O)CCC3C(=N)O)cc(-c3[c-]c(Cl)c(F)cc3F)n2)cc(C=NC2CC2)c1N,583,75.5
169240870,COc1cc(C(O)=NC[C@](O)(c2cc3c(c(-c4[c-]c(Cl)c(F)cc4F)n2)OC[C@H]3C)C2(F)CC2)cc(/C=N/C(F)F)c1N,577,75.5
59342216,CC(C)(c1cccc(-c2[c-]cc(F)c(C(F)(F)F)c2F)n1)c1cccc(-c2ccc(F)c(C(F)(F)F)c2F)n1,528,75.5
68597583,COC(=O)c1nc(-c2[c-]cc(F)c(C)c2F)cc(N=C(C)O)c1Cl,576,75.5
67469612,Nc1ccnc(-c2[c-]c(Cl)c(F)cc2F)c1,492,75.5
118898892,Nc1c(C(O)=NF)c(-c2[c-]cc(F)cc2F)nc(F)c1-c1ccccc1,571,75.3
46195654,C[C@H](N=C(O)c1cc(-c2[c-]cc(F)cc2F)nc(C(C)(C)O)c1)c1nc[nH]n1,575,75.2
57703332,[C-]#[N+]c1c(F)c[c-]c(-c2cccc(C(C)(C)c3cccc(-n4ccc(C(C)(C)C)n4)n3)n2)c1F,525,75.2
170516591,Cc1ccc(S(=O)(=O)n2ccc([C@](O)(CN)c3cc4c(c(-c5[c-]c(Cl)c(F)cc5F)n3)OC[C@]4(C)C(=N)O)cc2=O)cc1,544,75.2
170403647,Cc1ccc(C(O)(CN)c2cc3c(c(-c4[c-]c(Cl)c(F)cc4F)n2)OC[C@]3(C)C(=N)O)cc1,548,75.2
170378248,CC(C)(C)OC(=O)N1CC(O)(c2cc([C@@](O)(CN)C3CC3)nc(-c3[c-]c(Cl)c(F)cc3F)c2F)C1,555,75.1
67419234,COC(=O)Oc1nc(-c2[c-]cc(F)c(C)c2F)cc(N=C(C)O)c1Cl,574,75.1
68596399,COC(=O)c1nc(-c2[c-]cc(F)c(OC)c2F)cc(N=C(C)O)c1Cl,586,75.1
156073473,Nc1ncnc2c1ncn2Cc1cc(-c2[c-]cc(F)cc2F)ncc1N1CCC[C@](N)(c2cccc(Cl)n2)C1,530,75.1
59646095,CC(C)(c1cccc(-c2[c-]cc(F)cc2F)n1)c1cccc(-n2cnc3c(C(F)(F)F)ncnc32)n1,536,75.0
165749831,Nc1c(F)c[c-]c(-c2cc(C(F)(F)F)ccn2)c1F,526,75.0
167289062,C[C@@H](C(F)F)[C@@]1(N)CCCN(c2cnc(-c3[c-]cc(F)c(F)c3F)cc2Cn2cnc3c(N)ncnc32)C1,566,74.9
68648598,COC(=O)Oc1nc(-c2[c-]cc(F)c(F)c2F)cc(N=C(C)O)c1Cl,596,74.8
141178493,CC(O)=Nc1cc(-c2[c-]cc(F)c(C)c2F)nc(C(=O)O)c1Cl,556,74.8
