L1,L2,L3,L4,Counterion,Abbreviation_in_the_article,Charge,"λlum,nm",QY,"t, μs",solvent,"λabs,nm (most right)",eps,DOI,notes,примечания
O=CC1=CC=C(C2=NC=CC=C2)[C-]=C1,O=CC1=CC=C(C2=NC=CC=C2)[C-]=C1,COC1=CC=NC(C2=NC=CC(OC)=C2)=C1,,FP(F)(F)(F)(F)F,4,1,546,"0,19","0,545",DMSO,453,3600,10.1016/j.saa.2021.120167,,
O=CC1=CC=C(C2=NC=CC=C2)[C-]=C1,O=CC1=CC=C(C2=NC=CC=C2)[C-]=C1,OCC1=CC=NC(C2=NC=CC(CO)=C2)=C1,,FP(F)(F)(F)(F)F,5,1,544,"0,17","0,59",DMSO,450,2700,10.1016/j.saa.2021.120167,,
O=CC1=CC=C(C2=NC=CC=C2)[C-]=C1,O=CC1=CC=C(C2=NC=CC=C2)[C-]=C1,CC[N+](C1=CC=NC(C2=NC=CC([N+](CC)(CC)CC)=C2)=C1)(CC)CC,,FP(F)(F)(F)(F)F.FP(F)(F)(F)(F)F.FP(F)(F)(F)(F)F,6,3,598,"0,11","0,21",DMSO,420,5900,10.1016/j.saa.2021.120167,,
O=C(C(N1)CSC1C2=CC=C(C3=NC=CC=C3)[C-]=C2)O,O=C(C(N1)CSC1C2=CC=C(C3=NC=CC=C3)[C-]=C2)O,CN(C)C1=CC=NC(C2=NC=CC(N(C)C)=C2)=C1,,FP(F)(F)(F)(F)F,1hcy,1,540,"0,043","0,332",DMSO,480,400,10.1016/j.saa.2021.120167,,
O=C(C(N1)CCSC1C2=CC=C(C3=NC=CC=C3)[C-]=C2)O,O=C(C(N1)CCSC1C2=CC=C(C3=NC=CC=C3)[C-]=C2)O,CN(C)C1=CC=NC(C2=NC=CC(N(C)C)=C2)=C1,,FP(F)(F)(F)(F)F,1cys,1,560,"0,041","0,433",DMSO,480,400,10.1016/j.saa.2021.120167,,
FC(C1=CC(C2=C(C=CC=C3)C3=CC=N2)=[C-]C(C(F)(F)F)=N1)(F)F,FC(C1=CC(C2=C(C=CC=C3)C3=CC=N2)=[C-]C(C(F)(F)F)=N1)(F)F,CC1=N[N-]C(C2=CC=CC=N2)=C1,,,Ir1,0,583,"0,72","2,77",CH2Cl2,374,,10.1016/j.dyepig.2021.109733,,
FC(C1=CC(C2=C(C=CC=C3)C3=CC=N2)=[C-]C(C(F)(F)F)=N1)(F)F,FC(C1=CC(C2=C(C=CC=C3)C3=CC=N2)=[C-]C(C(F)(F)F)=N1)(F)F,FC(C1=N[N-]C(C2=CC=CC=N2)=C1)(F)F,,,Ir2,0,583,"0,6","2,64",CH2Cl2,356,,10.1016/j.dyepig.2021.109733,,
FC(C1=CC(C2=C(C=CC=C3)C3=CC=N2)=[C-]C(C(F)(F)F)=N1)(F)F,FC(C1=CC(C2=C(C=CC=C3)C3=CC=N2)=[C-]C(C(F)(F)F)=N1)(F)F,C1(C2=CC=CC=C2)=N[N-]C(C3=CC=CC=N3)=C1,,,Ir3,0,586,"0,89","2,7",CH2Cl2,374,,10.1016/j.dyepig.2021.109733,,
CCCCCCCCN1N=C(C2=N1)C(C3=NC=CC4=C3C=CC=C4)=[C-]C=C2C5=CC=C(N(C6=CC=CC=C6)C7=CC=CC=C7)C=C5,CCCCCCCCN1N=C(C2=N1)C(C3=NC=CC4=C3C=CC=C4)=[C-]C=C2C5=CC=C(N(C6=CC=CC=C6)C7=CC=CC=C7)C=C5,O=C([O-])C1=CC=C(C2=CC=C(S(=O)(C3=CC=C(N4C(C=CC(C(C)(C)C)=C5)=C5C6=C4C=CC(C(C)(C)C)=C6)C=C3)=O)C=C2)C=N1,,,iridium (III) complex,0,714,"0,113",,CH2Cl2,542,16000,10.1016/j.synthmet.2021.116917,,
CC1=CC(N=CC(C2=CC(C)=C(C)C=[C-]2)=N3)=C3C=C1C,CC1=CC(N=CC(C2=CC(C)=C(C)C=[C-]2)=N3)=C3C=C1C,c1ccc(-c2ccccn2)nc1,,F[P-](F)(F)(F)(F)F,[Ir(L1)2(bipy)]+,1,628,"0,03","1,886",CH3CN,485,4000,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,measured in aerated solutions
FC1=CC(N=CC(C2=CC(C)=C(C)C=[C-]2)=N3)=C3C=C1F,FC1=CC(N=CC(C2=CC(C)=C(C)C=[C-]2)=N3)=C3C=C1F,c1ccc(-c2ccccn2)nc1,,F[P-](F)(F)(F)(F)F,[Ir(L2)2(bipy)]+,1,655,"0,01","0,659",CH3CN,518,4000,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,measured in aerated solutions
