L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes,PLQY_in_train
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2[nH]c(-c3nc4ccccc4[nH]3)nc2c1,F[P-](F)(F)(F)(F)F,1,1,534,0.33,1.9,CH2Cl2,10.1021/acs.inorgchem.6b02028,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cn1c(-c2nc3ccccc3n2C)nc2ccccc21,F[P-](F)(F)(F)(F)F,2,1,593,0.24,1.0,CH2Cl2,10.1002/chem.201604792,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1cnn(Cn2cccn2)c1,F[P-](F)(F)(F)(F)F,1,1,456,0.2,1.38,CH3CN,10.1016/j.dyepig.2016.06.039,,1
Cc1ccnc(-c2[c-]cc(F)cc2F)c1,Cc1ccnc(-c2[c-]cc(F)cc2F)c1,c1cnn(Cn2cccn2)c1,F[P-](F)(F)(F)(F)F,2,1,453,0.12,1.37,CH3CN,10.1016/j.dyepig.2016.06.039,,1
[c-]1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)ccc1-c1ccccn1,[c-]1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)ccc1-c1ccccn1,c1cnc2c(c1)ccc1cccnc12,F[P-](F)(F)(F)(F)F,[(PPPA)2Ir(Phen)]PF6,1,612,0.0051,,CH3CN,10.1016/j.jlumin.2023.119721,,1
COc1c[c-]c(-c2cc(-c3ccccc3)c3cc(Cl)ccc3n2)cc1,COc1c[c-]c(-c2cc(-c3ccccc3)c3cc(Cl)ccc3n2)cc1,O=C([O-])c1cnccn1,,1,0,584,,6.92,CH2Cl2,10.1016/j.poly.2016.07.031,,1
COc1c[c-]c(-c2cc(-c3ccccc3)c3cc(Cl)ccc3n2)cc1,COc1c[c-]c(-c2cc(-c3ccccc3)c3cc(Cl)ccc3n2)cc1,c1c[nH]c(-c2ncc[nH]2)n1,[Cl-],2,1,578,,4.98,CH2Cl2,10.1016/j.poly.2016.07.031,,1
COc1c[c-]c(-c2cc(-c3ccccc3)c3cc(Cl)ccc3n2)cc1,COc1c[c-]c(-c2cc(-c3ccccc3)c3cc(Cl)ccc3n2)cc1,c1ccc(-c2ccccn2)nc1,[Cl-],3,1,582,,4.21,,10.1016/j.poly.2016.07.031,,1
COc1c[c-]c(-c2cc(-c3ccccc3)c3cc(Cl)ccc3n2)cc1,COc1c[c-]c(-c2cc(-c3ccccc3)c3cc(Cl)ccc3n2)cc1,c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[Cl-],4,1,544,,0.25,,10.1016/j.poly.2016.07.031,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1nc(-c2ccccn2)no1,F[P-](F)(F)(F)(F)F,1,1,575,0.09,0.03463,CH3CN,10.1016/j.jelechem.2016.09.037,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,Cc1nc(-c2ccccn2)no1,F[P-](F)(F)(F)(F)F,2,1,487,0.12,0.044,CH3CN,10.1016/j.jelechem.2016.09.037,,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Cc1nc(-c2ccccn2)no1,F[P-](F)(F)(F)(F)F,3,1,621,0.31,0.51,CH3CN,10.1016/j.jelechem.2016.09.037,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,Cc1nc(-c2ccccn2)no1,F[P-](F)(F)(F)(F)F,4,1,561,0.07,0.01075,CH3CN,10.1016/j.jelechem.2016.09.037,,1
[c-]1ccccc1-c1cn(CCCCCCn2c3ccccc3c3ccccc32)nn1,[c-]1ccccc1-c1cn(CCCCCCn2c3ccccc3c3ccccc32)nn1,FC(F)(F)c1n[n-]c(-c2ccccn2)n1,,Ir1,0,463,0.1361,,CH2Cl2,10.1016/j.dyepig.2016.07.009,the atmosphere of measurements is not stated ,0
[c-]1ccccc1-c1cn(CCCCCCn2c3ccccc3c3ccccc32)nn1,[c-]1ccccc1-c1cn(CCCCCCn2c3ccccc3c3ccccc32)nn1,c1ccc(-c2n[n-]c(-c3ccccn3)n2)cc1,,Ir2,0,495,0.2421,,CH2Cl2,10.1016/j.dyepig.2016.07.009,the atmosphere of measurements is not stated ,0
[c-]1ccccc1-c1cn(CCCCCCn2c3ccccc3c3ccccc32)nn1,[c-]1ccccc1-c1cn(CCCCCCn2c3ccccc3c3ccccc32)nn1,Fc1ccc(-c2n[n-]c(-c3ccccn3)n2)cc1,,Ir3,0,490,0.2548,,CH2Cl2,10.1016/j.dyepig.2016.07.009,the atmosphere of measurements is not stated ,0
Cc1ccnc(-c2[c-]cc(F)cc2F)c1,Cc1ccnc(-c2[c-]cc(F)cc2F)c1,c1ccc(-n2cccn2)nc1,F[P-](F)(F)(F)(F)F,,1,451,0.12,0.97,CH3CN,10.1016/j.ica.2016.07.052,,1
Cc1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1,Cc1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1,c1ccc(-c2ncc[n-]2)nc1,,Me-Ir-PI,0,502,,0.59,CH2Cl2,10.1039/c6ra24142e,,1
CC(C)(C)c1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1,CC(C)(C)c1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1,c1ccc(-c2ncc[n-]2)nc1,,tBu-Ir-PI,0,501,,0.37,CH2Cl2,10.1039/c6ra24142e,,1
Cc1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1,Cc1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1,c1ccc(-c2nc3ccccc3[n-]2)nc1,,Me-Ir-PB,0,534,,0.28,CH2Cl2,10.1039/c6ra24142e,,1
CC(C)(C)c1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1,CC(C)(C)c1c[c-]c(-c2nc3ccccc3n2-c2ccccc2)cc1,c1ccc(-c2nc3ccccc3[n-]2)nc1,,tBu-Ir-PB,0,536,,0.44,CH2Cl2,10.1039/c6ra24142e,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(#Cc1ccc2ccc3cccc4ccc1c2c34)c1cnc2c(ccc3cccnc32)c1,F[P-](F)(F)(F)(F)F,Ir-1,1,672,0.01,136.1,CH2Cl2,10.1002/ange.201608442,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(#Cc1ccc2ccc3cccc4ccc1c2c34)c1cc2cccnc2c2ncccc12,F[P-](F)(F)(F)(F)F,Ir-2,1,678,0.001,213.1,CH2Cl2,10.1002/ange.201608442,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(#Cc1ccc2ccc3cccc4ccc1c2c34)c1cnc2c(ccc3cc(C#Cc4ccc5ccc6cccc7ccc4c5c67)cnc32)c1,F[P-](F)(F)(F)(F)F,Ir-3,1,682,0.013,73.1,CH2Cl2,10.1002/ange.201608442,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C(#Cc1ccc2ccc3cccc4ccc1c2c34)c1c(C#Cc2ccc3ccc4cccc5ccc2c3c45)c2cccnc2c2ncccc12,F[P-](F)(F)(F)(F)F,Ir-4,1,600,0.005,1.3,CH2Cl2,10.1002/ange.201608442,,1
Fc1c[c-]c(-c2ccccn2)c(F)n1,Fc1c[c-]c(-c2ccccn2)c(F)n1,FC(F)(F)c1n[n-]c(-c2ccccn2)n1,,Ir1,0,466,0.65,2.97,CH2Cl2,10.1039/c6tc04119a,,1
Cc1ccnc(-c2[c-]cc(F)nc2F)c1,Cc1ccnc(-c2[c-]cc(F)nc2F)c1,FC(F)(F)c1n[n-]c(-c2ccccn2)n1,,Ir2,0,467,0.7,3.01,CH2Cl2,10.1039/c6tc04119a,,1
Fc1c[c-]c(-n2cccn2)c(F)c1,Fc1c[c-]c(-n2cccn2)c(F)c1,Cc1nc(-c2ccccn2)n(CCCCn2cccc2)n1,F[P-](F)(F)(F)(F)F,NA2,1,499,0.127,,CH3CN,10.1039/c6tc03993f,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,[Cl-],1,1,583,0.134,14.74,CH2Cl2,10.1002/chem.201603630,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,[Cl-],2,1,544,0.433,4.29,CH2Cl2,10.1002/chem.201603630,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,[Cl-],3,1,590,0.365,15.33,CH2Cl2,10.1002/chem.201603630,,1
[c-]1ccccc1-c1nc2ccccc2s1,[c-]1ccccc1-c1nc2ccccc2s1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,[Cl-],4,1,564,0.463,2.69,CH2Cl2,10.1002/chem.201603630,,1
Cc1cc[c-]c(-c2ccccn2)c1,Cc1cc[c-]c(-c2ccccn2)c1,Cc1ccc2ccc3ccc(C)nc3c2n1,F[P-](F)(F)(F)(F)F,1,1,568,0.241,4.355,CH3CN,10.1021/acs.analchem.6b03128,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1cnc2c(c1)ccc1cccnc12,F[P-](F)(F)(F)(F)F,1,1,570,0.12,8.13,CH3CN,10.1039/c6tb02316a,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,Cc1cc(-c2ccccc2)c2ccc3c(-c4ccccc4)cc(C)nc3c2n1,F[P-](F)(F)(F)(F)F,2,1,575,0.06,1.84,CH3CN,10.1039/c6tb02316a,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,F[P-](F)(F)(F)(F)F,3,1,566,0.38,4.84,CH3CN,10.1039/c6tb02316a,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,F[P-](F)(F)(F)(F)F,4,1,560,0.26,3.43,CH3CN,10.1039/c6tb02316a,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,F[P-](F)(F)(F)(F)F,5,1,570,0.09,1.96,CH3CN,10.1039/c6tb02316a,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc(-c2ccc3ccc4ccc(-c5ccccc5)nc4c3n2)cc1,F[P-](F)(F)(F)(F)F,6,1,583,0.27,4.31,CH3CN,10.1039/c6tb02316a,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,Cc1ccnc2c1ccc1c(C)ccnc12,F[P-](F)(F)(F)(F)F,7,1,565,0.24,4.27,CH3CN,10.1039/c6tb02316a,,1
Cc1ccnc(-c2[c-]cc(F)cc2F)c1,Cc1ccnc(-c2[c-]cc(F)cc2F)c1,c1ccc(-c2nnn[n-]2)nc1,,IrTz1,0,460,0.83,1.26,CH2Cl2,10.1039/C6TC03217F,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2nnn[n-]2)nc1,,IrTz2,0,491,0.94,1.23,CH2Cl2,10.1039/C6TC03217F,,1
[c-]1ccccc1-c1cc(-c2ccccc2)c2ccccc2n1,[c-]1ccccc1-c1cc(-c2ccccc2)c2ccccc2n1,c1ccc(-c2nnn[n-]2)nc1,,IrTz3,0,578,0.87,1.34,CH2Cl2,10.1039/C6TC03217F,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,Ir(ppy)2(acac),0,519,0.331,2.94,CH2Cl2,10.1016/j.snb.2022.132898,,1
[c-]1cc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)ccc1-c1ccccn1,[c-]1cc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)ccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,IrCzPh,0,541,0.02,5.41,CH2Cl2,10.1016/j.snb.2022.132898,,1
[c-]1cc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)ccc1-c1ccccn1,[c-]1cc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)ccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,IrPhCz,0,544,0.031,4.7,CH2Cl2,10.1016/j.snb.2022.132898,,1
[c-]1cc(-n2c3ccccc3c3ccccc32)ccc1-c1ccccn1,[c-]1cc(-n2c3ccccc3c3ccccc32)ccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,IrCz,0,515,0.177,1.92,CH2Cl2,10.1016/j.snb.2022.132898,,1
[c-]1cc(-c2ccccc2)ccc1-c1ccccn1,[c-]1cc(-c2ccccc2)ccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,IrPh,0,538,0.202,4.03,CH2Cl2,10.1016/j.snb.2022.132898,,1
[c-]1cc2ccc3cccc4ccc(c1-c1ccccn1)c2c34,[c-]1cc2ccc3cccc4ccc(c1-c1ccccn1)c2c34,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,Ir1,0,681,0.0031,0.42,CH2Cl2,10.1016/j.inoche.2023.110460,,1
FC(F)(F)c1ccc(-c2[c-]cc3ccc4cccc5ccc2c3c45)nc1,FC(F)(F)c1ccc(-c2[c-]cc3ccc4cccc5ccc2c3c45)nc1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,Ir2,0,692,0.0033,0.8,CH2Cl2,10.1016/j.inoche.2023.110460,,1
Fc1ccc(-c2[c-]cc3ccc4cccc5ccc2c3c45)nc1,Fc1ccc(-c2[c-]cc3ccc4cccc5ccc2c3c45)nc1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,Ir3,0,680,0.0026,0.32,CH2Cl2,10.1016/j.inoche.2023.110460,,1
Cc1ccc(-c2[c-]cc3ccc4cccc5ccc2c3c45)nc1,Cc1ccc(-c2[c-]cc3ccc4cccc5ccc2c3c45)nc1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,Ir4,0,679,0.0024,0.47,CH2Cl2,10.1016/j.inoche.2023.110460,,1
[c-]1cc(N(c2ccccc2)c2ccccc2)ccc1-c1ncccn1,[c-]1cc(N(c2ccccc2)c2ccccc2)ccc1-c1ncccn1,CC(=O)/C=C(/C)[O-],,(TPAPr)2IrAcac,0,534,0.626,3.86,CH2Cl2,10.1002/chem.202300259,,1
[c-]1cc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)ccc1-c1ncccn1,[c-]1cc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)ccc1-c1ncccn1,CC(=O)/C=C(/C)[O-],,(TPSPr)2IrAcac,0,539,0.593,1.44,CH2Cl2,10.1002/chem.202300259,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1cnc2c(c1)c1nc(-c3ccc(N4CCOCC4)cc3)[nH]c1c1cccnc12,F[P-](F)(F)(F)(F)F,Ir1,1,593,0.104,0.008,H2O,10.1002/adhm.202301227,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CN1CCN(c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)CC1,F[P-](F)(F)(F)(F)F,Ir2,1,588,0.085,0.0347,H2O,10.1002/adhm.202301227,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C[N+]1(C)CCN(c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)CC1,[F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F],Ir3,2,593,0.05,0.0524,H2O,10.1002/adhm.202301227,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1cnc2c(c1)c1nc(-c3ccc(N4CCOCC4)cc3)[nH]c1c1cccnc12,F[P-](F)(F)(F)(F)F,Ir4,1,593,0.085,0.00429,H2O,10.1002/adhm.202301227,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,CN1CCN(c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)CC1,F[P-](F)(F)(F)(F)F,Ir5,1,489,0.066,0.00171,H2O,10.1002/adhm.202301227,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,C[N+]1(C)CCN(c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)CC1,[F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F],Ir6,2,527,0.022,0.0138,H2O,10.1002/adhm.202301227,,1
[c-]1cccc2c1c1nc3c(nc1c1ccccc21)CCCC3,[c-]1cccc2c1c1nc3c(nc1c1ccccc21)CCCC3,CC(=O)/C=C(/C)[O-],,Ir1,0,625,0.32,0.14,CH2Cl2,10.3390/molecules28124865,,1
[c-]1cccc2c1c1nc3c(nc1c1ccccc21)CCCC3,[c-]1cccc2c1c1nc3c(nc1c1ccccc21)CCCC3,O=C([O-])c1ccccn1,,Ir2,0,620,0.35,0.13,CH2Cl2,10.3390/molecules28124865,,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,CCC/N=C/c1ccccc1[O-],,piq-L1,0,629,0.59,1.1,toluene,10.1021/acs.inorgchem.3c01770,,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Cc1ccc(/N=C/c2ccccc2[O-])cc1,,piq-L2,0,632,0.21,0.41,toluene,10.1021/acs.inorgchem.3c01770,,1
N#Cc1cnc(-c2[c-]cccc2)c2ccccc12,N#Cc1cnc(-c2[c-]cccc2)c2ccccc12,CCC/N=C/c1ccccc1[O-],,CNpiq-L1,0,704,0.48,0.48,toluene,10.1021/acs.inorgchem.3c01770,,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,CCC[N-]C(=O)c1ccccn1,,piq-L3,0,627,0.45,1.3,toluene,10.1021/acs.inorgchem.3c01770,,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Cc1ccc([N-]C(=O)c2ccccn2)cc1,,piq-L4,0,612,0.22,0.54,toluene,10.1021/acs.inorgchem.3c01770,,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,O=C([N-]c1ccc(C(F)(F)F)cc1)c1ccccn1,,piq-L5,0,614,0.8,1.6,toluene,10.1021/acs.inorgchem.3c01770,,1
N#Cc1cnc(-c2[c-]cccc2)c2ccccc12,N#Cc1cnc(-c2[c-]cccc2)c2ccccc12,O=C([N-]c1ccc(C(F)(F)F)cc1)c1ccccn1,,CNpiq-L2,0,672,0.76,0.9,toluene,10.1021/acs.inorgchem.3c01770,,1
C=Cc1cccnc1-c1[c-]cccc1,C=Cc1cccnc1-c1[c-]cccc1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,1,1,612,0.001,0.047,CH3CN,10.1016/j.dyepig.2023.111355,,1
Cc1ccnc(-c2[c-]cccc2)c1/C=C/c1ccccc1,Cc1ccnc(-c2[c-]cccc2)c1/C=C/c1ccccc1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,2,1,592,0.001,0.241,CH3CN,10.1016/j.dyepig.2023.111355,,1
Cc1ccnc(-c2[c-]cccc2)c1/C=C/c1ccccc1,Cc1ccnc(-c2[c-]cccc2)c1/C=C/c1ccccc1,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,3,1,583,0.002,0.366,CH3CN,10.1016/j.dyepig.2023.111355,,1
CCCCNCc1c[c-]c(-c2ccccn2)cc1,CCCCNCc1c[c-]c(-c2ccccn2)cc1,Cc1ccnc(-c2cc(C(=O)NCCN(Cc3ccccn3)Cc3ccccn3)ccn2)c1,F[P-](F)(F)(F)(F)F,1,1,613,0.049,0.183,CH2Cl2,10.1002/anie.202309178,,1
[c-]1cc(CN2CCCCC2)ccc1-c1ccccn1,[c-]1cc(CN2CCCCC2)ccc1-c1ccccn1,Cc1ccnc(-c2cc(C(=O)NCCN(Cc3ccccn3)Cc3ccccn3)ccn2)c1,F[P-](F)(F)(F)(F)F,2,1,598,0.037,0.227,CH2Cl2,10.1002/anie.202309178,,1
Cc1c[c-]c(-c2ccccn2)cc1,Cc1c[c-]c(-c2ccccn2)cc1,Cc1ccnc(-c2cc(C(=O)NCCN(Cc3ccccn3)Cc3ccccn3)ccn2)c1,F[P-](F)(F)(F)(F)F,3,1,605,0.02,0.3,CH2Cl2,10.1002/anie.202309178,,1
CCCCNCc1c[c-]c(-c2ccccn2)cc1,CCCCNCc1c[c-]c(-c2ccccn2)cc1,Cc1ccnc(-c2cc(C(=O)NCCN(Cc3ccccn3)Cc3ccccn3)ccn2)c1,F[P-](F)(F)(F)(F)F,1,1,608,0.017,0.147,CH3CN,10.1002/anie.202309178,,1
[c-]1cc(CN2CCCCC2)ccc1-c1ccccn1,[c-]1cc(CN2CCCCC2)ccc1-c1ccccn1,Cc1ccnc(-c2cc(C(=O)NCCN(Cc3ccccn3)Cc3ccccn3)ccn2)c1,F[P-](F)(F)(F)(F)F,2,1,606,0.009,0.196,CH3CN,10.1002/anie.202309178,,1
Cc1c[c-]c(-c2ccccn2)cc1,Cc1c[c-]c(-c2ccccn2)cc1,Cc1ccnc(-c2cc(C(=O)NCCN(Cc3ccccn3)Cc3ccccn3)ccn2)c1,F[P-](F)(F)(F)(F)F,3,1,617,0.009,0.259,CH3CN,10.1002/anie.202309178,,1
[c-]1c(-c2ncccn2)cc2c3ccccc3n3c4ccccc4c1c23,[c-]1c(-c2ncccn2)cc2c3ccccc3n3c4ccccc4c1c23,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,(2-pymICz)2Ir(tmd),0,515,0.703,0.2,CH2Cl2,10.1039/d3qm00514c,,1
Cc1cc(-c2[c-]c3c4ccccc4n4c5ccccc5c(c2)c34)ncn1,Cc1cc(-c2[c-]c3c4ccccc4n4c5ccccc5c(c2)c34)ncn1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,(4-pymICz)2Ir(tmd),0,523,0.729,0.29,CH2Cl2,10.1039/d3qm00514c,,1
Cc1[c-]c(-c2nccc3c2ccc2ccccc23)cc(C)c1,Cc1[c-]c(-c2nccc3c2ccc2ccccc23)cc(C)c1,CC(=O)/C=C(/C)[O-],,DR1,0,608,0.86,0.77,toluene,10.1002/adfm.202214233,,1
Cc1[c-]c(-c2nccc3c2ccc2ccccc23)cc(C)c1,Cc1[c-]c(-c2nccc3c2ccc2ccccc23)cc(C)c1,CCC(CC)C(=O)/C=C(\[O-])C(CC)CC,,DR2,0,608,0.92,0.75,toluene,10.1002/adfm.202214233,,1
Cc1[c-]c(-c2nccc3c2ccc2cc(C)ccc23)cc(C)c1,Cc1[c-]c(-c2nccc3c2ccc2cc(C)ccc23)cc(C)c1,CCC(CC)C(=O)/C=C(\[O-])C(CC)CC,,DR3,0,604,0.95,0.73,toluene,10.1002/adfm.202214233,,1
Cc1[c-]c(-c2nccc3c2ccc2cc(C(C)(C)C)ccc23)cc(C)c1,Cc1[c-]c(-c2nccc3c2ccc2cc(C(C)(C)C)ccc23)cc(C)c1,CCC(CC)C(=O)/C=C(\[O-])C(CC)CC,,DR4,0,605,0.92,0.75,toluene,10.1002/adfm.202214233,,1
Cc1[c-]c(-c2nccc3c2ccc2cc([Si](C)(C)C)ccc23)cc(C)c1,Cc1[c-]c(-c2nccc3c2ccc2cc([Si](C)(C)C)ccc23)cc(C)c1,CCC(CC)C(=O)/C=C(\[O-])C(CC)CC,,DR5,0,612,0.98,0.71,toluene,10.1002/adfm.202214233,,1
N#Cc1ccc(-c2[c-]cccc2)nc1,N#Cc1ccc(-c2[c-]cccc2)nc1,CC(=O)/C=C(/C)[O-],,Ir(3-CN),0,587,0.83,0.96,CH2Cl2,10.1021/acsami.3c07430,QY and lifetime measured in film,0
N#Cc1ccnc(-c2[c-]cccc2)c1,N#Cc1ccnc(-c2[c-]cccc2)c1,CC(=O)/C=C(/C)[O-],,Ir(4-CN),0,625,0.54,0.79,CH2Cl2,10.1021/acsami.3c07430,QY and lifetime measured in film,0
N#Cc1c[c-]c(-c2ccccn2)cc1,N#Cc1c[c-]c(-c2ccccn2)cc1,CC(=O)/C=C(/C)[O-],,Ir(10-CN),0,544,0.75,2.08,CH2Cl2,10.1021/acsami.3c07430,QY and lifetime measured in film,0
Cc1ccnc(-c2[c-]cc(F)cc2F)c1,Cc1ccnc(-c2[c-]cc(F)cc2F)c1,FC(F)(F)c1n[n-]c(-c2ccccn2)n1,,Ir-mm,0,454,0.48,0.42,CH2Cl2,10.1039/d3nj03513a,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,[O-]c1ccccc1-c1ccccn1,,A,0,545,0.377,1.41,CH3CN,10.1039/d3dt02689b,,1
COc1c[c-]c(-c2nccc3ccccc23)cc1,COc1c[c-]c(-c2nccc3ccccc23)cc1,c1cnc2c(c1)ccc1cccnc12,F[P-](F)(F)(F)(F)F,Ir1,1,588,0.22,2.38,CH2Cl2,10.1016/j.jorganchem.2023.122920,,1
COc1[c-]c(-c2nccc3ccccc23)cc(OC)c1,COc1[c-]c(-c2nccc3ccccc23)cc(OC)c1,c1cnc2c(c1)ccc1cccnc12,F[P-](F)(F)(F)(F)F,Ir2,1,648,0.12,6.56,CH2Cl2,10.1016/j.jorganchem.2023.122920,,1
COc1[c-]c(-c2nccc3ccccc23)cc(OC)c1OC,COc1[c-]c(-c2nccc3ccccc23)cc(OC)c1OC,c1cnc2c(c1)ccc1cccnc12,F[P-](F)(F)(F)(F)F,Ir3,1,622,0.19,5.18,CH2Cl2,10.1016/j.jorganchem.2023.122920,,1
FC(F)(F)c1c[c-]c(-c2ncccn2)cc1,FC(F)(F)c1c[c-]c(-c2ncccn2)cc1,[O-]/C(=N\c1nnc(-c2ccccc2)o1)c1ccc(C(F)(F)F)cc1,,Ir1,0,506,0.094,2.19,CH2Cl2,10.1016/j.dyepig.2023.111738,,1
FC(F)(F)c1c[c-]c(-c2ncccn2)cc1,FC(F)(F)c1c[c-]c(-c2ncccn2)cc1,[O-]/C(=N\c1nnc(-c2ccccc2)o1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,Ir2,0,506,0.008,1.25,CH2Cl2,10.1016/j.dyepig.2023.111738,,1
FC(F)(F)c1[c-]c(-c2ncccn2)cc(C(F)(F)F)c1,FC(F)(F)c1[c-]c(-c2ncccn2)cc(C(F)(F)F)c1,[O-]/C(=N\c1nnc(-c2ccccc2)o1)c1ccc(C(F)(F)F)cc1,,Ir3,0,496,0.013,1.24,CH2Cl2,10.1016/j.dyepig.2023.111738,,1
