L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes,PLQY_in_train
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C1=C/C(=C(\c2ccccc2)c2ccc[n-]2)N=C1,,Ir2,0,682,0.06,2.76,CH2Cl2,10.1039/D1DT01557E,lifetime measured in film,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,C1=C/C(=C(\c2ccccc2)c2ccc[n-]2)N=C1,,Ir3,0,683,0.06,2.92,CH2Cl2,10.1039/D1DT01557E,lifetime measured in film,1
[c-]1cc(N(c2ccccc2)c2ccccc2)ccc1-c1nccc2ccccc12,[c-]1cc(N(c2ccccc2)c2ccccc2)ccc1-c1nccc2ccccc12,C1=C/C(=C(\c2ccccc2)c2ccc[n-]2)N=C1,,Ir4,0,687,0.05,2.57,CH2Cl2,10.1039/D1DT01557E,lifetime measured in film,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,CC(=O)/C=C(/C)[O-],,Ir5,0,493,,,CH2Cl2,10.1039/D1DT01557E,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,Ir6,0,525,,,CH2Cl2,10.1039/D1DT01557E,,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,CC(=O)/C=C(/C)[O-],,Ir7,0,628,,,CH2Cl2,10.1039/D1DT01557E,,1
[c-]1cc(N(c2ccccc2)c2ccccc2)ccc1-c1nccc2ccccc12,[c-]1cc(N(c2ccccc2)c2ccccc2)ccc1-c1nccc2ccccc12,CC(=O)/C=C(/C)[O-],,Ir8,0,645,,,CH2Cl2,10.1039/D1DT01557E,,1
[c-]1cc(CC(c2ccccc2)c2ccccc2)ccc1-c1ccccn1,[c-]1cc(CC(c2ccccc2)c2ccccc2)ccc1-c1ccccn1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,1,1,595,0.08,0.24,CH3CN,10.1039/D1NJ02375F,,1
[c-]1cc(CC(c2ccccc2)c2ccccc2)ccc1-c1ccccn1,[c-]1cc(CC(c2ccccc2)c2ccccc2)ccc1-c1ccccn1,c1ccc(-n2ccc(-c3ccccn3)n2)cc1,F[P-](F)(F)(F)(F)F,2,1,511,0.04,0.29,CH3CN,10.1039/D1NJ02375F,,1
[c-]1c(-c2ccccn2)cc2c3ccccc3n3c4ccccc4c1c23,[c-]1c(-c2ccccn2)cc2c3ccccc3n3c4ccccc4c1c23,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,(pyidcz)2Ir(tmd),0,499,0.76,0.39,CH2Cl2,10.1039/d1tc01449h,,1
FC(F)(F)c1ccnc(-c2[c-]c3c4ccccc4n4c5ccccc5c(c2)c34)c1,FC(F)(F)c1ccnc(-c2[c-]c3c4ccccc4n4c5ccccc5c(c2)c34)c1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,(tfpyidcz)2Ir(tmd),0,554,0.9,0.64,CH2Cl2,10.1039/d1tc01449h,,1
Fc1c[c-]c(-c2ccccn2)cc1,Fc1c[c-]c(-c2ccccn2)cc1,CC(C)/N=C(/[N-]C(C)C)N(C(C)C)C(C)C,,fppg,0,545,0.72,0.38,CH2Cl2,10.1039/d1tc01498f,,1
FC(F)(F)c1c[c-]c(-c2ccccn2)cc1,FC(F)(F)c1c[c-]c(-c2ccccn2)cc1,CC(C)/N=C(/[N-]C(C)C)N(C(C)C)C(C)C,,tfppg,0,581,0.68,0.66,CH2Cl2,10.1039/d1tc01498f,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(C)/N=C(/[N-]C(C)C)N(C(C)C)C(C)C,,ppg,0,557,,,CH2Cl2,10.1039/d1tc01498f,,1
[c-]1c(-c2nccc3ccccc23)sc2ccccc12,Fc1c[c-]c(-c2ccccn2)c(F)c1,CC(=O)/C=C(/C)[O-],,1,0,703,0.18,0.3,CH2Cl2,10.1002/adom.202100117,,1
[c-]1c(-c2nccc3ccccc23)sc2ccccc12,[c-]1ccccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,2,0,715,0.26,0.42,CH2Cl2,10.1002/adom.202100117,,1
